"UMKM Name","Product","Asset Total (Rp. Juta)","Annual Sales (Rp. Juta)","Employees","Survey Conducted","","","","","",""
"PAPALELE","JUAL IKAN","354.8","180","1","2011","","","","","",""
"ARIEL PAINT MOTOR","BENGKEL MODIFIKASI","54","42","6","2011","","","","","",""
"JUAL MAKANAN JAD DAN SEMBAKO","MAKANAN JADI","12.25","75","1","2011","","","","","",""
"KIOS ANDINI","MAKANAN JADI","288.74","135","1","2011","","","","","",""
"Toko Muliana","Usaha Dagang","39.4","148","2","2011","","","","","",""
"Toko Nina","Kelontangan","423","134","3","2011","","","","","",""
"Natasa","Kerajinan Tangan","381","1,100","20","2011","","","","","",""
"Bina Mandiri Las","Bengkel Las Listrik","401","690","7","2011","","","","","",""
"UKM AJAT SUDRAJAT","Dagang Sembako","125","77","1","2011","","","","","",""
"Saung Sempur ""FUJANARA""","Bakar Ikan","784","656","3","2011","","","","","",""
"Ade Yahya","Dagang","183","13","1","2011","","","","","",""
"Toko Sendal Pulau Biru","Dagang Sendal","26.3","222","2","2008","","","","","",""
"Kompak Elektronik","Dagang Alat - Alat Listrik","111","198","2","2008","","","","","",""
"Kincai Rapih Jok","Dagang Interior Mobil","25.7","82","3","2008","","","","","",""
"Bengkel Vespa Abet","Dagang pelumas dan jasa bengkel cuci mobil","28.8","648","2","2008","","","","","",""
"Bengkel Vespa 21","Dagang pelumas dan jasa bengkel cuci mobil","39.13","108","1","2008","","","","","",""
"VC.KOMALASARI","Bengkel Bubut/service","822","524.8","7","2011","","","","","",""
"WARUNG IBU SUMIATI","Warung","44","360","2","2011","","","","","",""
"Warung Togar","Sembako","37.5","534","1","2010","","","","","",""
"Warkop","Warkop","124","300","2","2010","","","","","",""
"Aneka Kue","Kue","68.85","56.55","2","2010","","","","","",""
"Bengkel Sepeda Ari","Bengkel Dan Sparepart","10.05","57.5","1","2010","","","","","",""
"TUBE GORDYN","Gordyn","28","72","2","2011","","","","","",""
"WAROENG BATIK PEKALONGAN","BATIK PEKALONGAN","70","56","2","2011","","","","","",""
"Mebel H. Asir","Dagang furniture","670.3","2,520","4","2008","","","","","",""
"UD Tholabur Rizki","Dagang furniture","288.25","820.5","2","2008","","","","","",""
"Toko Pangestu","Dagang kebutuhan harian","2,041","360","2","2008","","","","","",""
"Bangku Merah Interior","Dagang gorden","85","325","8","2008","","","","","",""
"Toko Layang2 BATMAN","Dagang Layang-layang hias","26.96","235","14","2008","","","","","",""
"Mandiri Poultry Shop","Pakan Ternak","277","150","5","2009","","","","","",""
"Toko Kembang Seroja Baru","Dagang Kembang","113.25","222","7","2008","","","","","",""
"Toko Hanifah","Dagang Sembako","131","480","2","2008","","","","","",""
"Tiga Putra","Dagang Kelontong","203.5","925","1","2008","","","","","",""
"SANDAL TASIK","Sandal Tasikmalaya","85","96","2","2011","","","","","",""
"Etry Bakery","Makanan Ringan","69","42","2","2011","","","","","",""
"Unay S","Dagang Makanan","68","267","1","2011","","","","","",""
"USAHA KERAJINAN SENI PAHAT","Dagang Barang Kerajinan","748.41","177.5","4","2008","","","","","",""
"Usaha Hj. Nuraeni","Dagang Beras","1,209.50","129","2","2008","","","","","",""
"UD.ANSAR","Dagang Bahan Bangunan","16,063","279","6","2008","","","","","",""
"PUSTAKA ILMU","Toko Buku","107.5","84","1","2011","","","","","",""
"Bengkel Bubut, Las Dan Colter","Bengkel","612","440","3","2012","","","","","",""
"Agen Buku Heru","Agen Buku","200","400","0","2012","","","","","",""
"JUAL BELI KAMBING","Jual Beli Kambing","160","54","1","2011","","","","","",""
"BORNEO UTAMA","JUAL SEMBAKO","521","1,030","5","2013","","","","","",""
"Kios Kristo","Dagang Sembako","233","124","1","2008","","","","","",""
"Josephesin","Dagang Pakan Ternak","159.58","76","1","2008","","","","","",""
"Bengkel Mustafa","Bengkel","0","0","1","2012","","","","","",""
"Pawiro Pojo","Kios BArang Harian","215","42","2","2012","","","","","",""
"Satukah","Barang Harian","131","32","4","2012","","","","","",""
"Abadi Celular","Dagang Telepon Selular","9","238.5","2","2008","","","","","",""
"Gado - Gado Cell","Dagang Voucher Pulsa","18.5","96","2","2008","","","","","",""
"SBC Motor","Dagang pelumas dan jasa bengkel cuci mobil","11.35","181.9","6","2008","","","","","",""
"Kin Elektrik","Dagang Alat - Alat Listrik","21.6","72","1","2008","","","","","",""
"Cafe Takuy","Makanan Ringan","15.5","102","1","2010","","","","","",""
"SBC Motor","Dagang sparepart dan jasa bengkel","11.35","181.9","5","2008","","","","","",""
"Dobenk Meteo Motor","Dagang Telepon Selular","13.82","198","3","2008","","","","","",""
"CV Galaksi Cipta Mutia Digjaya","Dagang Voucher Pulsa","292.55","129","3","2008","","","","","",""
"Ottist Printing","Dagang Voucher Pulsa","8.3","48","2","2008","","","","","",""
"Kios Bintang Harapan","Jual Kebutuhan Pokok","7.7","135","2","2011","","","","","",""
"BENGKEL MARZOAN","Jasa Bengkel","99","98","2","2012","","","","","",""
"Kiios Kadue","Sembako","208","3,000","1","2013","","","","","",""
"Kios Risal","Sembako","86.5","145.8","2","2013","","","","","",""
"Kios Fathir","Sembako","218","345.6","2","2013","","","","","",""
"Al Fitrah","Dagang Perlengkapan muslim","961.5","1,406","13","2008","","","","","",""
"Toko Rinjani","Dagang Kelontong","398","990","2","2008","","","","","",""
"Kartina","Dagang Makanan","13","72","1","2008","","","","","",""
"Warung Soto","Warung Soto","80","111","1","2011","","","","","",""
"Eska Motor","Bengkel","225","66","2","2012","","","","","",""
"Warung Yulia","Warung Sembako","170","31","1","2012","","","","","",""
"Bengkel Theo Motor","Bengkel Motor","126","30","1","2012","","","","","",""
"Bengkel Las MDQ","Bengkel Las","30","11","1","2012","","","","","",""
"Bengkel Las Madiyo","Bengkel Las","170","18","3","2012","","","","","",""
"Bengkel Las Arox Jaya","Bengkel Las","240","25","2","2012","","","","","",""
"Warung Fredi","Warung Sembako","52","36","1","2012","","","","","",""
"Warung Nasi Pagi Ibu Anah","Warung Nasi Uduk","182","10","1","2012","","","","","",""
"Warung Mainan Romadhon","Warung Mainan","33.5","36","1","2012","","","","","",""
"Agen Kakao","Agen Kakao","60","30","0","2012","","","","","",""
"Toko Kaca Dan Bingkai 3 Putra","Dagang kaca & bingkai","27.8","193","2","2008","","","","","",""
"Duta Jati","Dagang Furniture Modern dan tradisional","46","120","3","2008","","","","","",""
"Saka Cell","Dagang Voucher Pulsa","14.5","186","3","2008","","","","","",""
"MP3 Cell","Dagang Handphone","321.75","230","2","2008","","","","","",""
"Toko Pecah Belah","Dagang Plastik dan Kelengkapan Rumah Tangga","70.7","240","1","2009","","","","","",""
"Toko Sepatu Ema","Dagang Sepatu dan Tas","27.5","180","1","2009","","","","","",""
"Toko Karunia","Dagang Sembako","159","735","0","2009","","","","","",""
"Toko Afdalina","Dagang Pakaian","56","126","0","2009","","","","","",""
"Kurnia Tani","Dagang Obat Pertanian","499","990","2","2009","","","","","",""
"Toko Bismillah","Dagang Sembako","29.3","372","0","2009","","","","","",""
"Nabila Cell","Dagang Pulsa","38","465","1","2009","","","","","",""
"BENGKEL SIANG MALAM","DOORSMER","1,287.03","705","11","2011","","","","","",""
"ROSSI","TENDA DAN TERATAK","305.37","140","2","2011","","","","","",""
"ELIZA PONSEL","PONSEL","110.49","211.7","1","2011","","","","","",""
"TAMIYA ELECTRIC","USAHA MAINAN MOBIL ELEKTRONIK","121.32","60","1","2011","","","","","",""
"TASYA PONSEL","PULSA","37.19","77.28","1","2011","","","","","",""
"KIOS SARBAINI","KELONTONG","64.93","195","1","2011","","","","","",""
"WARUNG SEMBAKO","SEMBAKO","218","444","2","2012","","","","","",""
"Bengkel Motor","Bengkel Motor","13.2","56","0","2009","","","","","",""
"Toko Nisa","Counter dan Gerabatan","211.9","144","2","2009","","","","","",""
"Toko Putri","Kelontongan","51.7","108","2","2009","","","","","",""
"Jaya Cell","Counter Pulsa dan Accessories HP","164.7","88","1","2009","","","","","",""
"Konter Arista Cell","Konter Pulsa","21.2","117","1","2011","","","","","",""
"Warung Fuad","Warung Manisan / Kelontongan","21","27.6","1","2011","","","","","",""
"Bunda Cell","Konter Pulsa","18.2","198","1","2011","","","","","",""
"Wr. Kelontongan & Gorengan Dasiah","Kelontongan & Gorengan","5","36","1","2011","","","","","",""
"Dedi Iswanto Cellurar","Jual Beli Hp","24.3","44","2","2011","","","","","",""
"Warung Pak Sodri","Dagang Kelontongan","11.5","198","1","2011","","","","","",""
"Aneka Kue","Dagang Makanan dan Minuman","135","257","4","2008","","","","","",""
"Irsa Warung","Perdagangan","58","104","3","2011","","","","","",""
"Warung Asri","Dagang Kelontongan","25.5","279","1","2011","","","","","",""
"Warung Dafa Waymengaku","Dagang Kelontongan","35.5","90","1","2011","","","","","",""
"Veronica Cell","Konter Pulsa","16","180","1","2011","","","","","",""
"Warung Manisan","Dagang Kelontongan","47","20.4","1","2011","","","","","",""
"Warung Kelontongan","Dagang Kelontongan","6","18","1","2011","","","","","",""
"Toko Reza","Dagang Kelontongan","22.2","156","1","2011","","","","","",""
"Donat Cup","Dagang Alas Kaki","120","99.84","2","2008","","","","","",""
"UD Tunas Sari","Dagang Makanan dan Minuman","91","240","6","2008","","","","","",""
"Mertasari","Dagang Makanan dan Minuman","18","211.88","2","2008","","","","","",""
"Toko Yadnya","Dagang Makanan dan Minuman","20","147","2","2008","","","","","",""
"Toko Es Komang","Dagang Makanan dan Minuman","17","76.5","2","2008","","","","","",""
"Dagang Buah Ibu Desak","Dagang Buah-Buahan","46.46","1,692","1","2008","","","","","",""
"Buana Bakery","Dagang Makanan dan Minuman","13","120","6","2008","","","","","",""
"Warung Bu Agus","Dagang Makanan dan Minuman","165.6","54","1","2008","","","","","",""
"Toko Komang","Dagang Sembako","13.5","93","2","2008","","","","","",""
"Depot Mie Dan Bakso Surabaya","Dagang Bakso","13.5","357","3","2008","","","","","",""
"Warung Sulastri","Dagang Makanan dan Minuman","9","214.5","4","2008","","","","","",""
"Bakso Suryatno","Dagang Bakso","16","222","2","2008","","","","","",""
"UD Rasna Jaya","Dagang Bahan Bangunan","6,925","2,160","11","2008","","","","","",""
"Toko Kue Farneta","Dagang Makanan dan Minuman","25.8","420","2","2008","","","","","",""
"KIOS ADIL CELL","KIOS SEMBAKO","90.2","330","1","2012","","","","","",""
"Bahagia","Dagang","0","0","1","2012","","","","","",""
"Makmur Wijaya","Keripik (Ubi/Pisang)","0","0","3","2012","","","","","",""
"Sanggar Tamaraya","Dagang Tanaman Hias","820","47.5","13","2008","","","","","",""
"Toko Alfon","Dagang ATK dan jasa fotokopi","80","17.25","2","2008","","","","","",""
"T-Book","Dagang buku","25.5","60","1","2008","","","","","",""
"Kedai Senyum","Dagang keperluan outdoor","77","62.25","1","2008","","","","","",""
"Karya Motor Sport","Dagang Aksesoris Kendaraan","87","30","3","2008","","","","","",""
"Lapek Bugis Keluarga","Dagang Tanaman","367.5","264","1","2008","","","","","",""
"Yulia Mayang Sari","Dagang Batik","161","570","8","2008","","","","","",""
"TOKO LUKISAN UDIN FRIEND","LUKISAN","14.2","88","1","2011","","","","","",""
"CHICK DUD STORE","Jual Dvd","108.4","108","1","2011","","","","","",""
"KIOS BENSIN SRI","Kios Bensin","2.5","540","2","2011","","","","","",""
"RISNA JAYA","LPG 3kg","83","300","2","2011","","","","","",""
"KERAJINAN PENDIL","Pendil","18","212","2","2011","","","","","",""
"Toko Irawan","Dagang","115.8","264","2","2012","","","","","",""
"Oka Cell Dan Photocopy","Jasa","176.3","84","2","2012","","","","","",""
"Pratama Jaya Gipsum","Dagang","60","180","2","2012","","","","","",""
"Ari","Dagang Sembako","55","111","1","2012","","","","","",""
"Perorangan","Dagang","122","183","1","2012","","","","","",""
"Toko Purwanto","Dagang Sembako","260.2","345","2","2012","","","","","",""
"UD Wirawan","Dagang Perlengkapan Sembahyang","41","20.9","2","2008","","","","","",""
"Dagang Canang Ketut Sueni","Dagang Canang","17","360","1","2008","","","","","",""
"WARUNG IBU HAERATUN","USAHA JUAL SEMBAKO","20.06","49.43","2","2012","","","","","",""
"MATAR MOTOR","Bengkel Motor","35.15","148","2","2012","","","","","",""
"Warung Sri","Dagang","106.8","100","2","2012","","","","","",""
"Jo Elektronik","Dagang","147","120","2","2012","","","","","",""
"Warung Dwi","Dagang","131","100","2","2012","","","","","",""
"Warung Km","Sembako","112","74","1","2012","","","","","",""
"Bengkel Hutahuruk","Bengkel Motor","72","54","1","2012","","","","","",""
"Toko Juwarti","Dagang","50","116","1","2012","","","","","",""
"Warung Nabila","Dagang","128","93","1","2012","","","","","",""
"Okta","Dagang","117","54","1","2012","","","","","",""
"Kios Ayu","Kios","384.6","72","1","2012","","","","","",""
"Kios Asha","Sembako","199.5","140.4","2","2013","","","","","",""
"Kios Hartati","Sembako","81","129.6","2","2013","","","","","",""
"UD Jagung Atun (Penjualan Jagung)","Penjualan Jagung","23.1","80","1","2014","","","","","",""
"Pakaian Cakar","Penjualan Baju","192","197.5","1","2014","","","","","",""
"UD Nurhikma","Grosir Eceran","385","180","3","2014","","","","","",""
"Jual Beli Sepeda","Jual Beli Sepeda","35.5","96","2","2014","","","","","",""
"Jual Beli Batu Cincin","Jual Batu Cincin","23.75","360","2","2014","","","","","",""
"CV Budi Tri Jaya","Bengkel Mobil","401","23.5","3","2014","","","","","",""
"Minyak Masrina","Agen Bbm","840","99","1","2014","","","","","",""
"Warung Jajanan","Warung Jajanan","56.5","100","1","2014","","","","","",""
"Kios Sembako","Kios Kelontong Dan Gorengan","148","274","1","2014","","","","","",""
"Rujak Potong","Rujak Potong","24","288","2","2014","","","","","",""
"Kfc Kaki Lima","Ayam Goreng","29.5","180","1","2014","","","","","",""
"Ganto Minang","Rumah Makan","69.5","18","2","2015","","","","","",""
"Kartini Game","Fd, Hardisk, Game","19.5","36","2","2015","","","","","",""
"Warung Pempek","Pempek","114","36","3","2015","","","","","",""
"Warung Dan Steam Febri","Warung","103.5","36","0","2012","","","","","",""
"Bengkel Wawan Motor","Bengkel Motor","126","60","1","2012","","","","","",""
"Toko Burung Satria","Toko Burung","154","24","0","2012","","","","","",""
"Ridho Ponsel Dan Komputer","Dagang Voucher Handphone","14.5","180","1","2008","","","","","",""
"Cucian Mobil Dan Motor Kalijaga","Cuci Mobil dan Motor","24","144","5","2013","","","","","",""
"Plastik Farm","Perdagangan Plastik","23","187.5","2","2011","","","","","",""
"NA","Pedagang Sandal","77","201","2","2011","","","","","",""
"Warung Ibu Masturi","Warung Pecel","83","15","0","2012","","","","","",""
"Belatik Kambing Rudi","Belatik Kambing","117","30","0","2012","","","","","",""
"Tiara Collection","Assesoris Wanita","518","263.2","5","2010","","","","","",""
"Bengkel Roni","Bengkel Ganti Oli Motor","17","36","0","2012","","","","","",""
"Warung Hari","Dagang","7","25","0","2012","","","","","",""
"Bakso Pakde Rosidi","Dagang Bakso","4","36","1","2012","","","","","",""
"Rumah Makan 3 Putera","Rumah Makan","110","100","5","2012","","","","","",""
"Warung Wiwik","Warung Serba Ada","14","30","0","2012","","","","","",""
"Bengkel Las Mekar Jaya","Bengkel Las","45","100","1","2012","","","","","",""
"Izul Cell","Selular","44","36","0","2012","","","","","",""
"Toko Zaki","Toko Kelontongan","81","360","0","2012","","","","","",""
"Toko Solihin","Toko Kelonton0g","29","108","0","2012","","","","","",""
"Warung Iyoh","Toko Kelontong","28","36","0","2012","","","","","",""
"Warung Sobirin","Toko Kelontong","50","360","0","2012","","","","","",""
"Bunga Cell","Toko Kelontong","36","216","0","2012","","","","","",""
"Wr. Redi","Toko Kelontong","18","216","0","2012","","","","","",""
"Wr.Tinem","Toko Kelontong","15.5","60","0","2012","","","","","",""
"Toko Sujai","Pemancingan","167.5","72","0","2012","","","","","",""
"RM Nurhayati","Rumah Makan","26.5","180","2","2012","","","","","",""
"Ira Cell","Konter","19.5","60","0","2012","","","","","",""
"Wr Nasikin","Warung Kelontong","50.5","144","0","2012","","","","","",""
"Kios Abu","Kios Burung","22","72","0","2012","","","","","",""
"Wr.Risman","Toko Kelontong","29","72","0","2012","","","","","",""
"Warung Atin","Warung","18.8","54","0","2012","","","","","",""
"Vita Qua (Depot Air Minum)","Depot Air Minum","120,300,000","13,440,000","1","2013","","","","","",""
"Warung Wahyu","Warung Sembako","60","36","0","2012","","","","","",""
"Ponsel Aries","Dagang Handphone","7.3","144","2","2008","","","","","",""
"Persewaan Tratag Dan Rias Pengantin","Jasa Persewaan","413","410","6","2013","","","","","",""
"UD. Hasil","Dagang Bahan Bangunan","215","120","2","2008","","","","","",""
"Toko Mahkota","Dagang Gas Elpiji","238.62","100.8","1","2008","","","","","",""
"Van Hauten Cell","Dagang Voucher dan Handphone","60","384","2","2008","","","","","",""
"Rief Cell","Dagang Voucher dan Handphone","17","720","4","2008","","","","","",""
"Toko Salsa","Dagang Alat tulis kantor","540","180","1","2008","","","","","",""
"UD Setia Jaya","Dagang Barang Bekas","160","180","2","2008","","","","","",""
"Tiga A Xerox","Dagang Alat Tulis Kantor","22","132","6","2008","","","","","",""
"Alfa Jaya","Dagang Bambu","6.5","36","2","2008","","","","","",""
"Mak Cell","Dagang Voucher dan Handphone","38","120","4","2008","","","","","",""
"Mandala Citra","Dagang Tas","23.5","108","1","2008","","","","","",""
"Toko Agus","Penjualan Manisan","1,018","120","0","2009","","","","","",""
"Toko Mila","Toko Kelontong","19.5","240","1","2012","","","","","",""
"Warung Raxel","Toko Kelontong","32","72","0","2012","","","","","",""
"Toko Arya","Toko Kelontong","41","360","0","2012","","","","","",""
"Dwi Putri","Warung","67","540","0","2012","","","","","",""
"Ayu Cell","Konter Celluler","22.65","72","0","2012","","","","","",""
"Warung Oki","Warung","17","60","0","2012","","","","","",""
"Toko Tesa","Toko Kelontong","36","144","0","2012","","","","","",""
"Toko Berlian","Toko Kelontongan","71.05","90","0","2012","","","","","",""
"RM Ratnawati","Rumah Makan","57.5","120","0","2012","","","","","",""
"Warung Tinem","Warung","53.7","108","0","2012","","","","","",""
"Warung Irma","Warung","6.5","35.64","0","2012","","","","","",""
"Warung Tati","Warung","26.9","72","0","2012","","","","","",""
"Laila Cell","Konter Cellular","7.3","108","0","2012","","","","","",""
"Jank Cell","Konter Cellular","10.5","40","0","2012","","","","","",""
"Bengkel Mono","Bengkel","77","240","2","2012","","","","","",""
"Warung Wati","Warung","63.7","108","0","2012","","","","","",""
"Warung Jajang","Warung","38","144","0","2012","","","","","",""
"Andre Jaya","Jasa","192.5","140","5","2012","","","","","",""
"Raja","Dagang","147","600","2","2012","","","","","",""
"Toko Diva","Dagang","77","76","2","2012","","","","","",""
"Optik Surya Abadi","Dagang","50","89","2","2012","","","","","",""
"Toko Obat Raja Farma","Dagang","65.5","63","2","2012","","","","","",""
"Azka Cell Dan Fotocopy","Jasa","135.3","108","2","2012","","","","","",""
"NP SPEED","Dagang","110","60","2","2012","","","","","",""
"Martin Cell","Dagang","15","84","1","2012","","","","","",""
"John Elektronik","Dagang","30","77","1","2012","","","","","",""
"Zidane","Dagang","132","120","2","2012","","","","","",""
"Beetwen Fotocopy","Jasa","111.8","129","3","2012","","","","","",""
"Bandrek Irfan","Bandrek","0","0","1","2012","","","","","",""
"Yunika Ponsel","Dagang Voucher HP","23","108","2","2008","","","","","",""
"Hykal Motor","Dagang Sparepart","22","84","2","2008","","","","","",""
"Kedai Buyung","Dagang Makan dan Minuman","27","108","2","2008","","","","","",""
"Lontong Tuyuhan Pak Zaery","Warung Makan","236","369","3","2013","","","","","",""
"Toko Rochmad","Dagang Kelontong","135","280","3","2008","","","","","",""
"Rizal Cell","Dagang Pulsa","9.75","330","1","2008","","","","","",""
"Mie Ayam Kartini","Penjualan Makanan","12.5","69","0","2009","","","","","",""
"Toko Pakaian Hidayati","Penjualan Pakaian","36","72","0","2009","","","","","",""
"Toko Rona","Penjualan Sepatu","116.3","660","0","2009","","","","","",""
"Toko Anik","Penjualan Pakaian","82","330","0","2009","","","","","",""
"Aksesoris & Bengkel Motor","Penjualan Aksesoris & Bengkel Motor","320.5","207","2","2009","","","","","",""
"Boy Celluler","Dagang Pulsa dan HP","13.5","81","2","2009","","","","","",""
"Es Rumput Laut Lubuak Solo","Es Rumput Laut","16","0","4","2012","","","","","",""
"WARUNG H.B","PERDAGANGAN","103.75","192","2","2010","","","","","",""
"WARUNG SEMBAKO DUA PUTRA","WARUNG SEMBAKO","89.5","81.6","2","2010","","","","","",""
"Bakso Helmi","Dagang","92.4","117","1","2012","","","","","",""
"Fafayo","Dagang","30","52","2","2012","","","","","",""
"Lina Salon","Jasa","37","33","1","2012","","","","","",""
"Widra Tailor 5","Jasa","36","97.5","4","2012","","","","","",""
"Roni Cell","Dagang","93.5","76","2","2012","","","","","",""
"Warung Sembako","Warung Sembako","3","66","1","2013","","","","","",""
"Warung Barokah","Warung Smebako","5","120","2","2013","","","","","",""
"Kios Amal Jaya","Kios","55.7","36","4","2012","","","","","",""
"Kios Susanti","Sembako","137.3","72","3","2012","","","","","",""
"Syifa Ulu-Ulu","Asesoris Dan Mainan","19.14","46.38","1","2013","","","","","",""
"UD Taman Indah","Dagang Tanaman Hias","146.45","28","5","2008","","","","","",""
"Johny","Dagang Makanan dan Minuman","208.06","156","2","2008","","","","","",""
"Edino","Dagang Daging Ayam","257.55","120","2","2008","","","","","",""
"Reza","Dagang Sembako","219.17","88","2","2008","","","","","",""
"Pencucian Mobil Tirta Mandiri","Pencucian Mobil","1,195,000,000","460,000,000","10","2011","","","","","",""
"Kios Pisang Coklat","Dagang","8,500,000","128,000,000","1","2011","","","","","",""
"RM Jane","Rumah Makan","67,000,000","800,000,000","6","2011","","","","","",""
"Kios Mama","Makanan Ringan","2,000,000","126,000,000","1","2011","","","","","",""
"Kantin Mahasiswa","Perdagangan, Hotel Dan Restoran","11.5","215","2","2011","","","","","",""
"Toko Yono","Dagang Sembako","690","1,500","4","2008","","","","","",""
"RUMAH MAKAN NASI KUNING NIKY","MAKANAN","150.5","88","3","2010","","","","","",""
"WARUNG MAKAN BRYAN","WARUNG MAKAN","51.85","68","2","2010","","","","","",""
"AQUAROSE","DEPOT AIR","73.5","144","5","2010","","","","","",""
"WARUNG FIONI","MAKANAN","110.8","52","2","2010","","","","","",""
"SILVA","DAGANG","110.3","54","1","2010","","","","","",""
"WARUNG INGIN MAJU","WARUNG SEMBAKO","5.8","60","1","2010","","","","","",""
"Toko Unizar","Kripik/ Makanan","14","10","1","2015","","","","","",""
"Warung Lestari","Aneka Sarapan","142.5","75","3","2015","","","","","",""
"Pakan Ternak Fadil","Pakan Ternak","9.5","72","1","2015","","","","","",""
"Distro Reflexs","Pakaian","29.5","168","1","2015","","","","","",""
"Riet","Dagang Kue","45.95","60","2","2008","","","","","",""
"Mansur","Dagang Pakaian","300","240","3","2008","","","","","",""
"Kios Hapiah","Sembako","36","12","2","2012","","","","","",""
"Kios Nurhayati","Sembako","24","12","1","2012","","","","","",""
"Marni Cell","Pulsa","8.44","48","2","2012","","","","","",""
"Kios Tamui","Kios","37.7","12","2","2012","","","","","",""
"Nanggroe Art Studio","Sablon Net","51.5","198","1","2014","","","","","",""
"Toko Agung Fatkhi","Penjual Beras","69.7","163.08","1","2014","","","","","",""
"Choco Waduk","Makanan Dan Minuman","11.5","72","4","2014","","","","","",""
"Agam Motor","Toko Peralatan Motor","232.7","354.08","2","2014","","","","","",""
"Armen Perabot","Penjualan Perabot Kayu","53","86","3","2014","","","","","",""
"Bengkel Motor Andesar","Bengkel Motor","224.5","36","2","2014","","","","","",""
"Depo Ag21","Depo Air Minum Isi Ulang","29.5","24","1","2014","","","","","",""
"Indah Fashion","Dagang","864","390","3","2018","","","","","",""
"Familimat","Dagang","839","780","2","2018","","","","","",""
"UD Sirsa Suuwardi","Dagang","6.6","30","1","2015","","","","","",""
"Toko Kelontong Bacok","Toko Kelontong","207.5","33.6","1","2016","","","","","",""
"Warung Dinda","Warung Kelontong","89","115.2","1","2015","","","","","",""
"Toko Nada","Toko Snack Dan Soft Drink","322","81","2","2015","","","","","",""
"Bengkel Distro","Baju","55","36","1","2016","","","","","",""
"Kios Buah Bu Jannah","Buah","8.2","144","1","2016","","","","","",""
"Toko Bunga Segar Claudia","Bunga","1,260","576","2","2016","","","","","",""
"Toko Salatiga","Jilbab","25.6","6","1","2016","","","","","",""
"Warung Nasi Padang","Warung Makan","92.4","60","2","2016","","","","","",""
"Bengkel","Bengkel","7","60","1","2016","","","","","",""
"Distro 25 Point Clothing Shop","Baju Distro","99","6","2","2016","","","","","",""
"Warung Gorengan","Gorengan","17","10.8","2","2016","","","","","",""
"Usaha Meubel Rahimah","Meja & Lemari","180.5","13.5","1","2016","","","","","",""
"Kios Bunga Carisa","Tanaman","132.5","78","1","2016","","","","","",""
"Lita Ayam Potong","Ayam Potong","214","36","2","2016","","","","","",""
"Warung Santi","Toko Kelontong","410","240","3","2015","","","","","",""
"Toko","Perdagangan","581.5","252","1","2016","","","","","",""
"Roti Bakar","Perdagangan","217","144","1","2016","","","","","",""
"Pedagang Ikan Pak Taufik","Pedagang Ikan","107","576","3","2016","","","","","",""
"Pedagang Eceran","Pedagang Eceran","20.21","67.05","2","2016","","","","","",""
"Malino Indah","Sembako","25.5","33","2","2016","","","","","",""
"Jual Sembako","Jual Sembako","68.5","48","1","2016","","","","","",""
"Warung Husnah","Penjualan Sembako","200","60","2","2015","","","","","",""
"Toko Defti","Toko Kelontong","109","84","1","2016","","","","","",""
"Pengepul Ikan Maryadi","Pengepul Hasil Laut","321.4","230","1","2016","","","","","",""
"Aida Tailor","Penjhit","201","36","2","2016","","","","","",""
"Jual Beli Kepiting","Pengepul Kepiting","90","817.2","13","2016","","","","","",""
"Toko Suhaimi","Pedagang","180","96","1","2016","","","","","",""
"Rwr Olshop","Online Shop","8.5","33.6","2","2016","","","","","",""
"Toko Sofyan","Makanan Dan Minuman","22","2","1","2016","","","","","",""
"Kiar Shop","Baju","37","4","1","2016","","","","","",""
"Pangkalan Gas Elpiji Kunto Dan Tomi","Gas Elpiji","133.6","3","7","2016","","","","","",""
"Java Jok","Papas Pasang Jok","19","108","1","2016","","","","","",""
"Agi Pulsa Dan Pakan Ternak Ikan","Pulsa Dan Pakan Ternak","451.8","5","1","2016","","","","","",""
"Rumah Baju","Baju","1,035.50","360","4","2016","","","","","",""
"Dua Putra","Telur","30.5","180","1","2016","","","","","",""
"Rusty Collection","Baju","31.2","720","1","2016","","","","","",""
"Toko Fuadi","Aksesoris","23.1","185","1","2016","","","","","",""
"Warung Mbah Wira","Sayur","320.1","36","1","2016","","","","","",""
"Little Marun","Dagang Perlengkapan Bayi","508","216","1","2008","","","","","",""
"Madu Yoghurt","Dagang Madu, Yoghurt","38.6","46","1","2008","","","","","",""
"Gudang Besi Tua","Dagang Besi Tua","32","120","3","2008","","","","","",""
"Bengkel Misri","Bengkel Mobil","329.5","200","3","2015","","","","","",""
"Warung Edy","Menjual Makanan Dan Minuman","9.5","130","1","2015","","","","","",""
"Toko Nawir Buah","Toko Buah","52","180","1","2016","","","","","",""
"Iqbal Variasi Motor","Variasi Motor","37.3","114","1","2016","","","","","",""
"Nangka Del Kedai","Nangka","528","378","2","2016","","","","","",""
"Cabe Olivia","Cabe Dan Bawang","1,021","756","2","2016","","","","","",""
"Toko Yusnaliza","Toko Sembako","214","144","1","2014","","","","","",""
"Toko Sembako Salbiah","Penjualan Sembako","16.5","60","1","2014","","","","","",""
"Toko Sembako Boiran","Penjualan Sembako","41","36","2","2014","","","","","",""
"Bengkel Motor M. Akbar","Bengkel Motor","17.2","60","1","2014","","","","","",""
"Toko Sembako Sabbiah","Toko Sembako","33","50","2","2014","","","","","",""
"Toko Sembako Upik","Penjualan Sembako","10.3","36","1","2014","","","","","",""
"Warung Sembako Rusmiyati","Penjualan Sembako","19","10","1","2014","","","","","",""
